MaxCut_10_100_1 & 10 & 100 & 2.12 & 18 & 1.23 & 1197 & 599 & 239 & 18 & 1.31 & 781 & 391 & 138 & 18 & 0.09 & 1.05 & 781 & 391 & 138 & 18 & \\
MaxCut_10_100_2 & 10 & 100 & 1.03 & 14 & 0.86 & 1123 & 562 & 260 & 14 & 0.76 & 697 & 349 & 133 & 14 & 0.06 & 0.92 & 697 & 349 & 133 & 14 & \\
MaxCut_10_100_3 & 10 & 100 & 1.32 & 18 & 0.87 & 1219 & 610 & 248 & 18 & 1.04 & 865 & 433 & 129 & 18 & 0.07 & 0.94 & 865 & 433 & 129 & 18 & \\
MaxCut_10_25_1 & 10 & 25 & 0.04 & 1 & 0.15 & 75 & 38 & 14 & 1 & 0.35 & 131 & 66 & 32 & 1 & 0.06 & 0.43 & 127 & 64 & 33 & 1 & \\
MaxCut_10_25_2 & 10 & 25 & 0.03 & 2 & 0.29 & 287 & 144 & 36 & 2 & 0.4 & 243 & 122 & 56 & 2 & 0.09 & 0.51 & 243 & 122 & 56 & 2 & \\
MaxCut_10_25_3 & 10 & 25 & 0.07 & 3 & 0.29 & 237 & 119 & 78 & 3 & 0.35 & 125 & 63 & 36 & 3 & 0.07 & 0.44 & 125 & 63 & 36 & 3 & \\
MaxCut_10_50_1 & 10 & 50 & 0.18 & 10 & 0.27 & 367 & 184 & 98 & 10 & 0.44 & 249 & 125 & 35 & 10 & 0.09 & 0.78 & 247 & 124 & 36 & 10 & \\
MaxCut_10_50_2 & 10 & 50 & 0.15 & 8 & 0.28 & 253 & 127 & 79 & 8 & 0.42 & 163 & 82 & 45 & 8 & 0.07 & 0.54 & 163 & 82 & 45 & 8 & \\
MaxCut_10_50_3 & 10 & 50 & 0.12 & 5 & 0.27 & 171 & 86 & 64 & 5 & 0.36 & 117 & 59 & 37 & 5 & 0.08 & 0.5 & 117 & 59 & 37 & 5 & \\
MaxCut_10_75_1 & 10 & 75 & 0.2 & 6 & 0.44 & 421 & 211 & 150 & 6 & 0.46 & 277 & 139 & 86 & 6 & 0.06 & 0.77 & 277 & 139 & 86 & 6 & \\
MaxCut_10_75_2 & 10 & 75 & 0.3 & 9 & 0.6 & 707 & 354 & 195 & 9 & 0.61 & 413 & 207 & 107 & 9 & 0.07 & 0.76 & 413 & 207 & 107 & 9 & \\
MaxCut_10_75_3 & 10 & 75 & 0.36 & 11 & 0.55 & 643 & 322 & 163 & 11 & 0.61 & 477 & 239 & 107 & 11 & 0.09 & 0.92 & 477 & 239 & 107 & 11 & \\
MaxCut_15_100_1 & 15 & 100 & 30.44 & 54 & 20.29 & 20161 & 10081 & 7810 & 54 & 11.39 & 9087 & 4544 & 2594 & 54 & 0.11 & 11.06 & 9087 & 4544 & 2594 & 54 & \\
MaxCut_15_100_2 & 15 & 100 & 22.1 & 45 & 19.3 & 18395 & 9198 & 7404 & 45 & 8.95 & 7417 & 3709 & 2697 & 45 & 0.11 & 8.59 & 7417 & 3709 & 2697 & 45 & \\
MaxCut_15_100_3 & 15 & 100 & 35.52 & 63 & 21.19 & 21817 & 10909 & 7178 & 63 & 13.0 & 11875 & 5938 & 3494 & 63 & 0.1 & 12.47 & 11875 & 5938 & 3494 & 63 & \\
MaxCut_15_25_1 & 15 & 25 & 0.06 & 2 & 1.53 & 1397 & 699 & 526 & 2 & 1.31 & 831 & 416 & 283 & 2 & 0.11 & 1.39 & 831 & 416 & 283 & 2 & \\
MaxCut_15_25_2 & 15 & 25 & 0.11 & 3 & 1.21 & 1015 & 508 & 360 & 3 & 0.96 & 501 & 251 & 162 & 3 & 0.09 & 1.13 & 501 & 251 & 162 & 3 & \\
