MaxCut_10_100_1 & 10 & 100 & 2.47 & 1445 & 723 & 165 & 63 & 1.55 & 1193 & 597 & 53 & 63 & 0.16 & 2.16 & 1193 & 597 & 53 & 63 & \\
MaxCut_10_100_2 & 10 & 100 & 1.88 & 1557 & 779 & 134 & 64 & 1.75 & 1313 & 657 & 22 & 64 & 0.11 & 1.92 & 1313 & 657 & 22 & 64 & \\
MaxCut_10_100_3 & 10 & 100 & 1.73 & 1495 & 748 & 121 & 67 & 1.71 & 1255 & 628 & 31 & 67 & 0.15 & 1.98 & 1255 & 628 & 31 & 67 & \\
MaxCut_10_25_1 & 10 & 25 & 1.67 & 1291 & 646 & 104 & 62 & 1.33 & 921 & 461 & 30 & 61 & 0.11 & 1.54 & 921 & 461 & 30 & 61 & \\
MaxCut_10_25_2 & 10 & 25 & 0.87 & 853 & 427 & 21 & 24 & 0.82 & 737 & 369 & 11 & 29 & 0.09 & 1.02 & 737 & 369 & 11 & 29 & \\
MaxCut_10_25_3 & 10 & 25 & 2.95 & 1675 & 838 & 113 & 133 & 1.56 & 929 & 465 & 15 & 104 & 0.12 & 1.78 & 929 & 465 & 15 & 104 & \\
MaxCut_10_50_1 & 10 & 50 & 2.29 & 1479 & 740 & 86 & 109 & 1.03 & 625 & 313 & 7 & 73 & 0.12 & 1.22 & 625 & 313 & 7 & 73 & \\
MaxCut_10_50_2 & 10 & 50 & 2.61 & 1555 & 778 & 121 & 108 & 1.85 & 1165 & 583 & 61 & 100 & 0.15 & 2.14 & 1167 & 584 & 60 & 100 & \\
MaxCut_10_50_3 & 10 & 50 & 2.01 & 1391 & 696 & 54 & 93 & 1.57 & 1071 & 536 & 25 & 81 & 0.13 & 2.05 & 1071 & 536 & 25 & 81 & \\
MaxCut_10_75_1 & 10 & 75 & 2.58 & 1639 & 820 & 107 & 111 & 1.9 & 1205 & 603 & 29 & 100 & 0.12 & 2.34 & 1205 & 603 & 29 & 100 & \\
MaxCut_10_75_2 & 10 & 75 & 3.54 & 1647 & 824 & 130 & 118 & 2.28 & 1251 & 626 & 27 & 115 & 0.14 & 2.43 & 1251 & 626 & 27 & 115 & \\
MaxCut_10_75_3 & 10 & 75 & 2.28 & 1601 & 801 & 157 & 82 & 1.96 & 1369 & 685 & 32 & 84 & 0.11 & 2.08 & 1369 & 685 & 32 & 84 & \\
MaxCut_15_100_1 & 15 & 100 & 238.17 & 33329 & 16665 & 7203 & 307 & 165.17 & 27931 & 13966 & 2519 & 306 & 0.16 & 175.74 & 27931 & 13966 & 2519 & 306 & \\
MaxCut_15_100_2 & 15 & 100 & 243.27 & 32845 & 16423 & 7786 & 299 & 163.61 & 26439 & 13220 & 3102 & 299 & 0.15 & 193.23 & 26439 & 13220 & 3102 & 299 & \\
MaxCut_15_100_3 & 15 & 100 & 313.44 & 34347 & 17174 & 6514 & 363 & 223.91 & 29559 & 14780 & 2324 & 360 & 0.17 & 234.94 & 29559 & 14780 & 2324 & 360 & \\
MaxCut_15_25_1 & 15 & 25 & 1456.12 & 34441 & 17221 & 3501 & 869 & 1098.18 & 29911 & 14956 & 2269 & 836 & 0.16 & 1174.3 & 29911 & 14956 & 2269 & 836 & \\
MaxCut_15_25_2 & 15 & 25 & 1790.5 & 42657 & 21329 & 3611 & 870 & 518.64 & 23013 & 11507 & 1992 & 665 & 0.17 & 559.21 & 23013 & 11507 & 1992 & 665 & \\
MaxCut_15_25_3 & 15 & 25 & TO & 35213 & 17605 & 3729 & 957 & 112.22 & 9759 & 4880 & 131 & 506 & 0.16 & 116.16 & 9759 & 4880 & 131 & 506 & \\
MaxCut_15_50_1 & 15 & 50 & TO & 39537 & 19762 & 4591 & 892 & 829.91 & 26431 & 13216 & 2227 & 761 & 0.15 & 838.92 & 26431 & 13216 & 2227 & 761 & \\
MaxCut_15_50_2 & 15 & 50 & TO & 40739 & 20362 & 4096 & 896 & 816.73 & 26417 & 13209 & 1896 & 786 & 0.17 & 863.77 & 26417 & 13209 & 1896 & 786 & \\
MaxCut_15_50_3 & 15 & 50 & TO & 35063 & 17529 & 3127 & 980 & 1305.71 & 28681 & 14341 & 2454 & 895 & 0.17 & 1337.93 & 28681 & 14341 & 2454 & 895 & \\
MaxCut_15_75_1 & 15 & 75 & 1439.52 & 43045 & 21523 & 5237 & 727 & 813.12 & 30181 & 15091 & 2652 & 689 & 0.14 & 834.1 & 30181 & 15091 & 2652 & 689 & \\
MaxCut_15_75_2 & 15 & 75 & 1399.12 & 40577 & 20289 & 5903 & 732 & 792.0 & 26749 & 13375 & 2908 & 723 & 0.33 & 851.81 & 26749 & 13375 & 2908 & 723 & \\
MaxCut_15_75_3 & 15 & 75 & 1645.08 & 42617 & 21309 & 5009 & 793 & 1035.5 & 27699 & 13850 & 2720 & 757 & 0.16 & 922.75 & 27699 & 13850 & 2720 & 757 & \\
MaxCut_20_100_1 & 20 & 100 & TO & 68615 & 34297 & 17203 & 664 & TO & 73307 & 36645 & 8399 & 709 & 0.19 & TO & 72329 & 36153 & 8260 & 707 & \\
MaxCut_20_100_2 & 20 & 100 & TO & 78411 & 39195 & 20000 & 618 & TO & 74287 & 37133 & 11084 & 671 & 0.24 & TO & 73821 & 36902 & 11011 & 668 & \\
MaxCut_20_100_3 & 20 & 100 & TO & 75791 & 37884 & 21302 & 739 & TO & 73797 & 36889 & 9724 & 802 & 0.19 & TO & 72645 & 36311 & 9506 & 794 & \\
MaxCut_20_25_1 & 20 & 25 & TO & 59653 & 29815 & 14066 & 725 & TO & 49941 & 24962 & 7262 & 908 & 0.19 & TO & 47947 & 23963 & 7080 & 926 & \\
MaxCut_20_25_2 & 20 & 25 & TO & 36477 & 18227 & 7015 & 1157 & TO & 36697 & 18341 & 4581 & 1244 & 0.18 & TO & 35853 & 17916 & 4476 & 1223 & \\
MaxCut_20_25_3 & 20 & 25 & TO & 37545 & 18762 & 6797 & 1133 & TO & 35905 & 17942 & 5101 & 1182 & 0.16 & TO & 35119 & 17551 & 5006 & 1162 & \\
MaxCut_20_50_1 & 20 & 50 & TO & 51113 & 25544 & 10563 & 858 & TO & 46507 & 23242 & 6508 & 915 & 0.2 & TO & 45461 & 22721 & 6379 & 910 & \\
MaxCut_20_50_2 & 20 & 50 & TO & 46861 & 23418 & 9142 & 854 & TO & 43035 & 21511 & 6922 & 918 & 0.2 & TO & 43365 & 21671 & 6988 & 926 & \\
MaxCut_20_50_3 & 20 & 50 & TO & 54349 & 27164 & 9140 & 875 & TO & 45889 & 22932 & 5973 & 973 & 0.18 & TO & 42603 & 21289 & 5449 & 934 & \\
MaxCut_20_75_1 & 20 & 75 & TO & 43869 & 21923 & 8252 & 882 & TO & 39283 & 19632 & 5767 & 969 & 0.17 & TO & 38583 & 19280 & 5520 & 967 & \\
MaxCut_20_75_2 & 20 & 75 & TO & 56113 & 28047 & 10733 & 747 & TO & 51461 & 25723 & 7564 & 915 & 0.21 & TO & 49821 & 24899 & 7306 & 883 & \\
MaxCut_20_75_3 & 20 & 75 & TO & 56903 & 28444 & 12417 & 701 & TO & 54741 & 27360 & 9072 & 829 & 0.22 & TO & 52887 & 26436 & 8605 & 820 & \\
MaxCut_25_100_1 & 25 & 100 & TO & 77325 & 38650 & 21189 & 631 & TO & 83037 & 41505 & 8702 & 745 & 0.28 & TO & 79489 & 39731 & 8432 & 736 & \\
MaxCut_25_100_2 & 25 & 100 & TO & 69011 & 34493 & 21456 & 638 & TO & 72597 & 36284 & 12529 & 701 & 0.22 & TO & 71167 & 35571 & 12211 & 688 & \\
