QKP_25_100_100_2 & 25 & 100 & 13.25 & 4101 & 2051 & 1 & 232 & 12.79 & 4107 & 2054 & 0 & 232 & 0.48 & 11.82 & 4107 & 2054 & 0 & 232 & 0.0 & 22.46 & 4107 & 2054 & 0 & 232 & 12.9 & 4107 & 2054 & 0 & 232 & 0.56 & 13.61 & 4107 & 2054 & 0 & 232 & 0.0 & 15.76 & 4107 & 2054 & 0 & 232 & \\
QKP_25_100_100_3 & 25 & 100 & 2.17 & 599 & 300 & 0 & 46 & 6.37 & 599 & 300 & 0 & 46 & 0.56 & 2.64 & 599 & 300 & 0 & 46 & 0.0 & 6.17 & 599 & 300 & 0 & 46 & 2.61 & 599 & 300 & 0 & 46 & 0.62 & 3.42 & 599 & 300 & 0 & 46 & 0.0 & 3.88 & 599 & 300 & 0 & 46 & \\
QKP_25_100_25_1 & 25 & 25 & 4.95 & 2207 & 1104 & 0 & 77 & 5.09 & 2207 & 1104 & 0 & 77 & 0.47 & 4.55 & 2207 & 1104 & 0 & 77 & 0.0 & 8.92 & 2207 & 1104 & 0 & 77 & 4.87 & 2207 & 1104 & 0 & 77 & 0.6 & 5.59 & 2207 & 1104 & 0 & 77 & 0.0 & 6.35 & 2207 & 1104 & 0 & 77 & \\
QKP_25_100_25_2 & 25 & 25 & TO & 157657 & 78810 & 1885 & 524 & TO & 173135 & 86552 & 252 & 519 & 0.54 & TO & 177153 & 88562 & 262 & 529 & 0.0 & TO & 137559 & 68768 & 196 & 497 & TO & 170985 & 85480 & 251 & 527 & 0.55 & TO & 172969 & 86468 & 252 & 519 & 0.0 & TO & 165273 & 82624 & 240 & 524 & \\
QKP_25_100_25_3 & 25 & 25 & 5.48 & 2459 & 1230 & 0 & 82 & 4.63 & 2459 & 1230 & 0 & 82 & 0.58 & 5.0 & 2459 & 1230 & 0 & 82 & 0.0 & 11.03 & 2459 & 1230 & 0 & 82 & 5.28 & 2459 & 1230 & 0 & 82 & 0.59 & 5.77 & 2459 & 1230 & 0 & 82 & 0.0 & 6.86 & 2459 & 1230 & 0 & 82 & \\
QKP_25_100_50_1 & 25 & 50 & 39.82 & 10063 & 5032 & 60 & 268 & 34.73 & 10301 & 5151 & 2 & 268 & 0.57 & 34.16 & 10301 & 5151 & 2 & 268 & 0.0 & 66.48 & 10303 & 5152 & 1 & 268 & 35.35 & 10301 & 5151 & 2 & 268 & 0.59 & 35.58 & 10301 & 5151 & 2 & 268 & 0.0 & 38.45 & 10303 & 5152 & 1 & 268 & \\
QKP_25_100_50_2 & 25 & 50 & 1.78 & 591 & 296 & 0 & 50 & 1.99 & 591 & 296 & 0 & 50 & 0.64 & 2.65 & 591 & 296 & 0 & 50 & 0.0 & 7.38 & 591 & 296 & 0 & 50 & 2.76 & 591 & 296 & 0 & 50 & 0.59 & 3.38 & 591 & 296 & 0 & 50 & 0.0 & 3.9 & 591 & 296 & 0 & 50 & \\
QKP_25_100_50_3 & 25 & 50 & 17.7 & 7461 & 3731 & 5 & 117 & 11.2 & 7519 & 3760 & 0 & 117 & 0.57 & 12.02 & 7519 & 3760 & 0 & 117 & 0.0 & 26.46 & 7519 & 3760 & 0 & 117 & 12.26 & 7519 & 3760 & 0 & 117 & 0.58 & 12.8 & 7519 & 3760 & 0 & 117 & 0.0 & 14.29 & 7519 & 3760 & 0 & 117 & \\
QKP_25_100_75_1 & 25 & 75 & 782.28 & 60171 & 30086 & 166 & 533 & 713.67 & 60659 & 30330 & 26 & 533 & 0.47 & 687.6 & 60659 & 30330 & 26 & 533 & 0.0 & 1179.95 & 60659 & 30330 & 26 & 533 & 730.79 & 60607 & 30304 & 46 & 533 & 0.57 & 738.14 & 60607 & 30304 & 46 & 533 & 0.0 & 810.54 & 60609 & 30305 & 45 & 533 & \\
QKP_25_100_75_2 & 25 & 75 & 150.61 & 21979 & 10990 & 2 & 395 & 130.82 & 21985 & 10993 & 0 & 395 & 0.56 & 128.32 & 21985 & 10993 & 0 & 395 & 0.0 & 200.79 & 21985 & 10993 & 0 & 395 & 135.79 & 21985 & 10993 & 0 & 395 & 0.62 & 134.74 & 21985 & 10993 & 0 & 395 & 0.0 & 143.3 & 21985 & 10993 & 0 & 395 & \\
QKP_25_100_75_3 & 25 & 75 & 13.36 & 4129 & 2065 & 0 & 222 & 11.34 & 4129 & 2065 & 0 & 222 & 0.5 & 11.64 & 4129 & 2065 & 0 & 222 & 0.0 & 20.05 & 4129 & 2065 & 0 & 222 & 13.15 & 4129 & 2065 & 0 & 222 & 0.58 & 15.29 & 4129 & 2065 & 0 & 222 & 0.0 & 16.83 & 4129 & 2065 & 0 & 222 & \\
QKP_30_100_100_1 & 30 & 100 & 14.34 & 4161 & 2081 & 0 & 184 & 10.83 & 4161 & 2081 & 0 & 184 & 1.05 & 11.94 & 4161 & 2081 & 0 & 184 & 0.0 & 23.74 & 4161 & 2081 & 0 & 184 & 13.59 & 4161 & 2081 & 0 & 184 & 1.06 & 18.19 & 4161 & 2081 & 0 & 184 & 0.0 & 22.64 & 4161 & 2081 & 0 & 184 & \\
QKP_30_100_100_2 & 30 & 100 & 3.3 & 803 & 402 & 0 & 96 & 3.68 & 803 & 402 & 0 & 96 & 0.75 & 4.39 & 803 & 402 & 0 & 96 & 0.0 & 9.6 & 803 & 402 & 0 & 96 & 5.93 & 803 & 402 & 0 & 96 & 0.99 & 8.05 & 803 & 402 & 0 & 96 & 0.0 & 9.47 & 803 & 402 & 0 & 96 & \\
QKP_30_100_100_3 & 30 & 100 & 18.92 & 5637 & 2819 & 4 & 181 & 16.3 & 5663 & 2832 & 4 & 181 & 0.73 & 16.38 & 5663 & 2832 & 4 & 181 & 0.0 & 27.88 & 5663 & 2832 & 4 & 181 & 20.28 & 5661 & 2831 & 4 & 181 & 0.96 & 20.74 & 5661 & 2831 & 4 & 181 & 0.0 & 23.97 & 5661 & 2831 & 4 & 181 & \\
QKP_30_100_25_1 & 30 & 25 & 3.42 & 715 & 358 & 0 & 38 & 3.32 & 715 & 358 & 0 & 38 & 0.68 & 3.85 & 715 & 358 & 0 & 38 & 0.0 & 13.29 & 715 & 358 & 0 & 38 & 4.77 & 715 & 358 & 0 & 38 & 0.84 & 5.55 & 715 & 358 & 0 & 38 & 0.0 & 7.78 & 715 & 358 & 0 & 38 & \\
