QKP_25_100_100_1 & 25 & 100 & 1.04 & 24 & 1.42 & 503 & 252 & 0 & 24 & 1.39 & 503 & 252 & 0 & 24 & 0.37 & 1.84 & 503 & 252 & 0 & 24 & 0.0 & 2.9 & 503 & 252 & 0 & 24 & 1.57 & 501 & 251 & 1 & 24 & 0.21 & 2.83 & 501 & 251 & 1 & 24 & 0.0 & 2.49 & 501 & 251 & 1 & 24 & \\
QKP_25_100_100_2 & 25 & 100 & 17.09 & 43 & 6.06 & 4063 & 2032 & 8 & 43 & 4.76 & 4101 & 2051 & 3 & 43 & 0.31 & 5.19 & 4101 & 2051 & 3 & 43 & 0.0 & 6.93 & 4101 & 2051 & 3 & 43 & 5.14 & 4075 & 2038 & 6 & 43 & 0.23 & 6.69 & 4075 & 2038 & 6 & 43 & 0.0 & 6.0 & 4075 & 2038 & 6 & 43 & \\
QKP_25_100_100_3 & 25 & 100 & 0.65 & 20 & 1.27 & 599 & 300 & 0 & 20 & 1.56 & 599 & 300 & 0 & 20 & 0.36 & 1.88 & 599 & 300 & 0 & 20 & 0.0 & 2.68 & 599 & 300 & 0 & 20 & 1.56 & 599 & 300 & 0 & 20 & 0.39 & 2.96 & 599 & 300 & 0 & 20 & 0.0 & 2.58 & 599 & 300 & 0 & 20 & \\
QKP_25_100_25_1 & 25 & 25 & 4.09 & 34 & 3.44 & 2203 & 1102 & 1 & 34 & 2.99 & 2207 & 1104 & 0 & 34 & 0.24 & 3.38 & 2207 & 1104 & 0 & 34 & 0.0 & 4.26 & 2207 & 1104 & 0 & 34 & 3.78 & 2207 & 1104 & 0 & 34 & 0.24 & 4.44 & 2207 & 1104 & 0 & 34 & 0.0 & 4.84 & 2207 & 1104 & 0 & 34 & \\
QKP_25_100_25_2 & 25 & 25 & 25.92 & 59 & 224.1 & 169313 & 84657 & 9632 & 59 & 703.34 & 206435 & 103218 & 1148 & 59 & 0.25 & 188.53 & 206435 & 103218 & 1148 & 59 & 0.0 & 235.66 & 206463 & 103232 & 1142 & 59 & 200.46 & 206305 & 103153 & 1149 & 59 & 0.19 & 190.14 & 206305 & 103153 & 1149 & 59 & 0.0 & 201.84 & 206333 & 103167 & 1143 & 59 & \\
QKP_25_100_25_3 & 25 & 25 & 3.26 & 26 & 3.8 & 2443 & 1222 & 6 & 26 & 3.17 & 2457 & 1229 & 1 & 26 & 0.27 & 3.47 & 2457 & 1229 & 1 & 26 & 0.0 & 4.6 & 2457 & 1229 & 1 & 26 & 3.49 & 2449 & 1225 & 4 & 26 & 0.3 & 4.53 & 2445 & 1223 & 6 & 26 & 0.0 & 4.0 & 2449 & 1225 & 4 & 26 & \\
QKP_25_100_50_1 & 25 & 50 & 14.66 & 57 & 12.28 & 9025 & 4513 & 317 & 57 & 9.76 & 10249 & 5125 & 22 & 57 & 0.29 & 10.12 & 10249 & 5125 & 22 & 57 & 0.0 & 12.0 & 10261 & 5131 & 18 & 57 & 10.85 & 10249 & 5125 & 22 & 57 & 0.29 & 11.53 & 10249 & 5125 & 22 & 57 & 0.0 & 11.38 & 10261 & 5131 & 18 & 57 & \\
QKP_25_100_50_2 & 25 & 50 & 0.79 & 17 & 1.54 & 591 & 296 & 0 & 17 & 1.49 & 591 & 296 & 0 & 17 & 0.27 & 1.77 & 591 & 296 & 0 & 17 & 0.0 & 3.51 & 591 & 296 & 0 & 17 & 1.62 & 591 & 296 & 0 & 17 & 0.31 & 2.75 & 591 & 296 & 0 & 17 & 0.0 & 2.21 & 591 & 296 & 0 & 17 & \\
QKP_25_100_50_3 & 25 & 50 & 5.59 & 34 & 9.66 & 7121 & 3561 & 47 & 34 & 7.1 & 7519 & 3760 & 0 & 34 & 0.34 & 8.02 & 7519 & 3760 & 0 & 34 & 0.0 & 11.21 & 7519 & 3760 & 0 & 34 & 8.01 & 7515 & 3758 & 2 & 34 & 0.34 & 8.76 & 7515 & 3758 & 2 & 34 & 0.0 & 8.25 & 7515 & 3758 & 2 & 34 & \\
QKP_25_100_75_1 & 25 & 75 & 31.77 & 59 & 79.65 & 58025 & 29013 & 875 & 59 & 63.9 & 59659 & 29830 & 484 & 59 & 0.39 & 66.83 & 59653 & 29827 & 487 & 59 & 0.0 & 81.88 & 59685 & 29843 & 471 & 59 & 74.19 & 58971 & 29486 & 660 & 59 & 0.31 & 70.75 & 58969 & 29485 & 661 & 59 & 0.0 & 73.65 & 58997 & 29499 & 647 & 59 & \\
QKP_25_100_75_2 & 25 & 75 & 22.41 & 69 & 28.37 & 21885 & 10943 & 35 & 69 & 23.26 & 21981 & 10991 & 1 & 69 & 0.5 & 24.27 & 21981 & 10991 & 1 & 69 & 0.0 & 23.6 & 21981 & 10991 & 1 & 69 & 23.08 & 21975 & 10988 & 3 & 69 & 0.34 & 24.32 & 21975 & 10988 & 3 & 69 & 0.0 & 24.14 & 21975 & 10988 & 3 & 69 & \\
QKP_25_100_75_3 & 25 & 75 & 9.79 & 35 & 6.06 & 4121 & 2061 & 3 & 35 & 5.28 & 4123 & 2062 & 2 & 35 & 0.35 & 5.89 & 4121 & 2061 & 3 & 35 & 0.0 & 5.97 & 4123 & 2062 & 2 & 35 & 5.26 & 4123 & 2062 & 2 & 35 & 0.29 & 6.57 & 4119 & 2060 & 3 & 35 & 0.0 & 5.73 & 4123 & 2062 & 2 & 35 & \\
QKP_30_100_100_1 & 30 & 100 & 10.62 & 34 & 8.21 & 4081 & 2041 & 13 & 34 & 7.21 & 4149 & 2075 & 6 & 34 & 0.5 & 7.74 & 4149 & 2075 & 6 & 34 & 0.0 & 9.38 & 4149 & 2075 & 6 & 34 & 7.99 & 4113 & 2057 & 17 & 34 & 0.45 & 8.85 & 4109 & 2055 & 17 & 34 & 0.0 & 9.16 & 4113 & 2057 & 17 & 34 & \\
